BoroCode,BoroName,CountyFIPS,NTACode,NTAName
3,Brooklyn,47,BK43,Midwood
3,Brooklyn,47,BK75,Bedford
2,Bronx,5,BX40,Fordham South
3,Brooklyn,47,BK88,Borough Park
3,Brooklyn,47,BK96,Rugby-Remsen Village
4,Queens,81,QN52,East Flushing
4,Queens,81,QN53,Woodhaven
3,Brooklyn,47,BK44,Madison
4,Queens,81,QN48,Auburndale
2,Bronx,5,BX44,Williamsbridge-Olinville
4,Queens,81,QN51,Murray Hill
4,Queens,81,QN27,East Elmhurst
3,Brooklyn,47,BK81,Brownsville
3,Brooklyn,47,BK85,East New York (Pennsylvania Ave)
3,Brooklyn,47,BK41,Kensington-Ocean Parkway
2,Bronx,5,BX46,Parkchester
3,Brooklyn,47,BK95,Erasmus
4,Queens,81,QN33,Cambria Heights
3,Brooklyn,47,BK91,East Flatbush-Farragut
3,Brooklyn,47,BK46,Ocean Parkway South
3,Brooklyn,47,BK93,Starrett City
2,Bronx,5,BX35,Morrisania-Melrose
4,Queens,81,QN29,Elmhurst
1,Manhattan,61,MN22,East Village
4,Queens,81,QN44,Glen Oaks-Floral Park-New Hyde Park
2,Bronx,5,BX33,Longwood
1,Manhattan,61,MN32,Yorkville
1,Manhattan,61,MN40,Upper East Side-Carnegie Hill
3,Brooklyn,47,BK40,Windsor Terrace
4,Queens,81,QN12,Hammels-Arverne-Edgemere
2,Bronx,5,BX98,Rikers Island
2,Bronx,5,BX27,Hunts Point
4,Queens,81,QN28,Jackson Heights
3,Brooklyn,47,BK27,Bath Beach
5,Staten Island,85,SI36,Old Town-Dongan Hills-South Beach
3,Brooklyn,47,BK42,Flatbush
2,Bronx,5,BX34,Melrose South-Mott Haven North
3,Brooklyn,47,BK79,Ocean Hill
1,Manhattan,61,MN09,Morningside Heights
2,Bronx,5,BX55,Soundview-Bruckner
2,Bronx,5,BX31,Allerton-Pelham Gardens
4,Queens,81,QN06,Jamaica Estates-Holliswood
4,Queens,81,QN07,Hollis
3,Brooklyn,47,BK58,Flatlands
3,Brooklyn,47,BK82,East New York
2,Bronx,5,BX30,Kingsbridge Heights
4,Queens,81,QN02,Springfield Gardens North
3,Brooklyn,47,BK50,Canarsie
2,Bronx,5,BX43,Norwood
1,Manhattan,61,MN06,Manhattanville
1,Manhattan,61,MN23,West Village
5,Staten Island,85,SI14,Grasmere-Arrochar-Ft. Wadsworth
4,Queens,81,QN34,Queens Village
1,Manhattan,61,MN27,Chinatown
2,Bronx,5,BX10,Pelham Bay-Country Club-City Island
2,Bronx,5,BX62,Woodlawn-Wakefield
4,Queens,81,QN71,Old Astoria
4,Queens,81,QN70,Astoria
1,Manhattan,61,MN50,Stuyvesant Town-Cooper Village
3,Brooklyn,47,BK30,Dyker Heights
3,Brooklyn,47,BK28,Bensonhurst West
5,Staten Island,85,SI22,West New Brighton-New Brighton-St. George
5,Staten Island,85,SI35,New Brighton-Silver Lake
5,Staten Island,85,SI07,Westerleigh
2,Bronx,5,BX36,University Heights-Morris Heights
4,Queens,81,QN46,Bayside-Bayside Hills
3,Brooklyn,47,BK61,Crown Heights North
2,Bronx,5,BX14,East Concourse-Concourse Village
4,Queens,81,QN26,North Corona
3,Brooklyn,47,BK83,Cypress Hills-City Line
4,Queens,81,QN37,Kew Gardens Hills
4,Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest
3,Brooklyn,47,BK73,North Side-South Side
1,Manhattan,61,MN28,Lower East Side
3,Brooklyn,47,BK76,Greenpoint
2,Bronx,5,BX29,Spuyten Duyvil-Kingsbridge
3,Brooklyn,47,BK34,Sunset Park East
1,Manhattan,61,MN01,Marble Hill-Inwood
